test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
54.0,134.9,54.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,5.0,5.0,0.0,358.0,153.0,163.0,15.0
55.0,342.8,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,2.0,0.0,362.0,126.0,160.0,11.0
56.0,83.2,41.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,2.0,5.0,0.0,303.0,134.0,154.0,14.0
57.0,68.75,23.6,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,5.0,8.0,1.0,306.0,139.0,158.0,17.0
58.0,120.9,216.75,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,55.0,7.0,3.0,0.0,343.0,157.0,147.0,8.0
59.0,20.25,295.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,55.0,6.0,10.0,0.0,304.0,135.0,159.0,4.0
60.0,833.05,247.5,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,35.0,4.0,6.0,0.0,373.0,151.0,166.0,17.0
61.0,1156.95,838.5500000000001,5.0,0.0,3.0,1.0,7.0,3.0,0.0,1.0,60.0,7.0,7.0,0.0,607.0,281.0,656.0,7.0
62.0,106.35,954.4499999999999,3.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,61.0,14.0,4.0,0.0,646.0,296.0,155.0,6.0
63.0,902.0000000000001,2045.5,4.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,68.0,15.0,7.0,0.0,678.0,268.0,183.0,10.0
64.0,123.5,562.4499999999999,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,63.0,6.0,2.0,0.0,515.0,193.0,172.0,12.0
65.0,270.34999999999997,140.9,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,4.0,3.0,1.0,342.0,119.0,159.0,12.0
66.0,105.95,157.25,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,1.0,3.0,0.0,326.0,128.0,147.0,8.0
67.0,105.35000000000001,123.95,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,8.0,5.0,0.0,281.0,130.0,169.0,7.0
68.0,214.89999999999998,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,349.0,154.0,186.0,13.0
