test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
81.0,241.55,122.30000000000001,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,5.0,2.0,0.0,333.0,153.0,162.0,8.0
82.0,111.4,227.95000000000002,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,50.0,6.0,2.0,0.0,298.0,125.0,165.0,9.0
83.0,36.8,338.85,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,53.0,4.0,5.0,0.0,351.0,139.0,169.0,8.0
84.0,86.94999999999999,137.15,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,1.0,4.0,0.0,313.0,155.0,168.0,11.0
85.0,390.7,240.65,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,2.0,2.0,0.0,312.0,136.0,144.0,11.0
86.0,330.45,108.69999999999999,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,46.0,1.0,3.0,0.0,323.0,131.0,136.0,12.0
87.0,58.5,253.55,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,62.0,4.0,8.0,0.0,362.0,128.0,163.0,18.0
88.0,1136.3,332.2,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,43.0,6.0,2.0,0.0,332.0,154.0,143.0,13.0
89.0,0.0,237.35,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,44.0,4.0,4.0,0.0,323.0,132.0,153.0,12.0
90.0,242.4,444.1,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,3.0,3.0,0.0,301.0,131.0,150.0,10.0
91.0,1066.45,238.4,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,60.0,5.0,3.0,0.0,351.0,138.0,173.0,7.0
92.0,1082.25,1206.9,8.0,1.0,1.0,0.0,4.0,5.0,1.0,2.0,79.0,11.0,3.0,0.0,661.0,334.0,647.0,9.0
93.0,119.0,874.3,4.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,75.0,10.0,4.0,0.0,649.0,306.0,186.0,13.0
94.0,154.95,176.85000000000002,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,17.0,7.0,0.0,620.0,275.0,160.0,8.0
95.0,42.45,345.15000000000003,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,64.0,9.0,5.0,0.0,507.0,171.0,148.0,9.0
96.0,565.05,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,4.0,0.0,306.0,122.0,156.0,14.0
97.0,230.85000000000002,643.55,5.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,49.0,2.0,2.0,0.0,308.0,134.0,174.0,9.0
98.0,206.05,141.5,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,5.0,5.0,0.0,316.0,117.0,179.0,6.0
99.0,91.75,200.15000000000003,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,54.0,3.0,4.0,0.0,353.0,136.0,156.0,13.0
100.0,191.75,507.35,4.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,45.0,3.0,3.0,0.0,333.0,140.0,185.0,8.0
101.0,1023.15,163.95000000000002,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,46.0,1.0,4.0,0.0,316.0,129.0,145.0,4.0
102.0,967.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,5.0,1.0,0.0,306.0,109.0,166.0,11.0
103.0,840.65,226.55,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.0,4.0,2.0,0.0,329.0,156.0,164.0,14.0
104.0,735.1,461.35,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,48.0,0.0,3.0,0.0,326.0,140.0,169.0,13.0
105.0,689.45,60.95,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,49.0,1.0,2.0,0.0,305.0,119.0,152.0,13.0
106.0,392.4,166.15,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,70.0,4.0,2.0,0.0,316.0,125.0,152.0,5.0
107.0,1242.45,425.95000000000005,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,55.0,2.0,2.0,0.0,328.0,129.0,168.0,12.0
108.0,372.40000000000003,270.2,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,58.0,6.0,1.0,0.0,339.0,126.0,139.0,12.0
109.0,583.4499999999999,570.95,2.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,53.0,2.0,6.0,0.0,331.0,137.0,156.0,11.0
110.0,193.3,87.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,4.0,1.0,0.0,304.0,135.0,148.0,15.0
111.0,91.0,1.55,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,2.0,2.0,0.0,315.0,140.0,182.0,14.0
112.0,54.4,314.1,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,38.0,4.0,2.0,0.0,369.0,126.0,165.0,18.0
113.0,139.4,379.85,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,56.0,3.0,5.0,0.0,333.0,140.0,156.0,16.0
114.0,278.85,779.0,1.0,1.0,0.0,1.0,7.0,1.0,2.0,0.0,42.0,2.0,8.0,0.0,343.0,140.0,147.0,12.0
115.0,187.8,354.85,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,64.0,0.0,0.0,0.0,328.0,116.0,143.0,13.0
116.0,326.70000000000005,80.69999999999999,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,47.0,1.0,4.0,0.0,336.0,125.0,141.0,6.0
117.0,297.45,353.15,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,59.0,1.0,4.0,0.0,322.0,134.0,168.0,12.0
118.0,96.05,778.5500000000001,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,49.0,4.0,3.0,0.0,320.0,141.0,158.0,11.0
119.0,215.45000000000002,200.4,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,55.0,4.0,4.0,0.0,368.0,151.0,157.0,9.0
120.0,440.6,491.7,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,42.0,2.0,4.0,0.0,329.0,122.0,149.0,12.0
